lon,lat,dttm,chla
-179.75,27.5,2021-09-10T00:00:00.000Z,0.0478509454375
-179.75,27.75,2021-09-10T00:00:00.000Z,0.05157160956666667
-179.75,28,2021-09-10T00:00:00.000Z,0.04847841882857143
-179.75,28.25,2021-09-10T00:00:00.000Z,0.046662209323529415
-179.75,28.5,2021-09-10T00:00:00.000Z,0.051162075277777774
-179.75,28.75,2021-09-10T00:00:00.000Z,0.051182103638888886
-179.75,29,2021-09-10T00:00:00.000Z,0.0486315601875
-179.75,29.25,2021-09-10T00:00:00.000Z,0.04413111636111111
-179.75,29.5,2021-09-10T00:00:00.000Z,0.04686048513888889
-179.75,29.75,2021-09-10T00:00:00.000Z,0.05041653152777778
-179.75,30,2021-09-10T00:00:00.000Z,0.04452852627777778
-179.75,30.25,2021-09-10T00:00:00.000Z,0.04690687661111111
-179.75,30.5,2021-09-10T00:00:00.000Z,0.051014533555555554
-179.75,30.75,2021-09-10T00:00:00.000Z,0.051723747583333333
-179.75,31,2021-09-10T00:00:00.000Z,0.049899458027777774
-179.75,31.25,2021-09-10T00:00:00.000Z,0.052414075444444444
-179.75,31.5,2021-09-10T00:00:00.000Z,0.05423436194444444
-179.75,31.75,2021-09-10T00:00:00.000Z,0.05467892411111111
-179.75,32,2021-09-10T00:00:00.000Z,0.05210613583333333
-179.75,32.25,2021-09-10T00:00:00.000Z,0.052665719166666666
-179.75,32.5,2021-09-10T00:00:00.000Z,0.05962731827777778
-179.75,32.75,2021-09-10T00:00:00.000Z,0.06442000282857142
-179.75,33,2021-09-10T00:00:00.000Z,0.06276423930555555
-179.75,33.25,2021-09-10T00:00:00.000Z,0.061565776305555556
-179.75,33.5,2021-09-10T00:00:00.000Z,0.060872651166666666
-179.75,33.75,2021-09-10T00:00:00.000Z,0.06606513483333333
-179.75,34,2021-09-10T00:00:00.000Z,0.06547567131428571
-179.75,34.25,2021-09-10T00:00:00.000Z,0.0612505435
-179.75,34.5,2021-09-10T00:00:00.000Z,0.06879246138888889
-179.75,34.75,2021-09-10T00:00:00.000Z,0.06278199988888888
-179.75,35,2021-09-10T00:00:00.000Z,0.07585440877777777
-179.75,35.25,2021-09-10T00:00:00.000Z,0.07931544663888888
-179.75,35.5,2021-09-10T00:00:00.000Z,0.05917734511111111
-179.75,35.75,2021-09-10T00:00:00.000Z,0.055034594916666665
-179.75,36,2021-09-10T00:00:00.000Z,0.061505040485714285
-179.75,36.25,2021-09-10T00:00:00.000Z,0.07039530944444444
-179.75,36.5,2021-09-10T00:00:00.000Z,0.07726822816666666
-179.75,36.75,2021-09-10T00:00:00.000Z,0.08821082566666667
-179.75,37,2021-09-10T00:00:00.000Z,0.09095693461111111
-179.75,37.25,2021-09-10T00:00:00.000Z,0.08551748794444444
-179.75,37.5,2021-09-10T00:00:00.000Z,0.07593376155555555
-179.75,37.75,2021-09-10T00:00:00.000Z,0.08365394908333333
-179.75,38,2021-09-10T00:00:00.000Z,0.08572045780555555
-179.75,38.25,2021-09-10T00:00:00.000Z,0.08225739780555556
-179.75,38.5,2021-09-10T00:00:00.000Z,0.07960798205555555
-179.75,38.75,2021-09-10T00:00:00.000Z,0.09008841533333334
-179.75,39,2021-09-10T00:00:00.000Z,0.10323015194444445
-179.75,39.25,2021-09-10T00:00:00.000Z,0.11152608558333334
-179.75,39.5,2021-09-10T00:00:00.000Z,0.11609985269444445
-179.75,39.75,2021-09-10T00:00:00.000Z,0.1394202662352941
-179.75,40,2021-09-10T00:00:00.000Z,0.17390765794117646
-179.75,40.25,2021-09-10T00:00:00.000Z,0.17322685424242423
-179.75,40.5,2021-09-10T00:00:00.000Z,0.18707739
-179.75,40.75,2021-09-10T00:00:00.000Z,0.10043297214285714
-179.75,41,2021-09-10T00:00:00.000Z,0.12045865247826087
-179.75,41.25,2021-09-10T00:00:00.000Z,0.11464321226666667
-179.75,41.5,2021-09-10T00:00:00.000Z,0.14155805673076924
-179.75,41.75,2021-09-10T00:00:00.000Z,0.1438674072413793
-179.75,42,2021-09-10T00:00:00.000Z,NA
-179.75,42.25,2021-09-10T00:00:00.000Z,NA
-179.75,42.5,2021-09-10T00:00:00.000Z,0.19474292954545455
-179.75,42.75,2021-09-10T00:00:00.000Z,0.222135955
-179.75,43,2021-09-10T00:00:00.000Z,NA
-179.75,43.25,2021-09-10T00:00:00.000Z,0.52998307
-179.75,43.5,2021-09-10T00:00:00.000Z,0.5218371957575758
-179.75,43.75,2021-09-10T00:00:00.000Z,0.573955818125
-179.75,44,2021-09-10T00:00:00.000Z,0.49602904032258066
-179.75,44.25,2021-09-10T00:00:00.000Z,0.3619691336363636
-179.75,44.5,2021-09-10T00:00:00.000Z,0.4945120954166667
-179.75,44.75,2021-09-10T00:00:00.000Z,0.5265024899999999
-179.75,45,2021-09-10T00:00:00.000Z,NA
-179.75,45.25,2021-09-10T00:00:00.000Z,0.96632195
-179.75,45.5,2021-09-10T00:00:00.000Z,0.5340213495833334
-179.75,45.75,2021-09-10T00:00:00.000Z,0.3787052080555556
-179.75,46,2021-09-10T00:00:00.000Z,0.4108408158333333
-179.75,46.25,2021-09-10T00:00:00.000Z,0.4008517602777778
-179.75,46.5,2021-09-10T00:00:00.000Z,0.3776715333333333
-179.75,46.75,2021-09-10T00:00:00.000Z,0.4525721474193548
-179.75,47,2021-09-10T00:00:00.000Z,1.0082565666666667
-179.75,47.25,2021-09-10T00:00:00.000Z,1.252471518
-179.75,47.5,2021-09-10T00:00:00.000Z,1.03145537125
-179.75,47.75,2021-09-10T00:00:00.000Z,1.0203286999999999
-179.75,48,2021-09-10T00:00:00.000Z,0.945322641
