dttm,lon,lat,sss
2014-11-01,-106.5,2.5,33.7848
2014-11-01,-105.5,2.5,34.0712
2014-11-01,-104.5,2.5,34.0348
2014-11-01,-103.5,2.5,33.6387
2014-11-01,-102.5,2.5,33.6678
2014-11-01,-101.5,2.5,33.6788
2014-11-01,-100.5,2.5,33.5497
2014-11-01,-99.5,2.5,33.4386
2014-11-01,-98.5,2.5,33.4229
2014-11-01,-97.5,2.5,33.4932
2014-11-01,-96.5,2.5,33.2693
2014-11-01,-95.5,2.5,33.3387
2014-11-01,-94.5,2.5,33.3439
2014-11-01,-93.5,2.5,33.2802
2014-11-01,-92.5,2.5,33.2157
2014-11-01,-91.5,2.5,33.3433
2014-11-01,-90.5,2.5,33.2499
2014-11-01,-179.5,3.5,34.3808
2014-11-01,-178.5,3.5,34.1183
2014-11-01,-177.5,3.5,34.2004
2014-11-01,-176.5,3.5,34.2658
2014-11-01,-175.5,3.5,34.3762
2014-11-01,-174.5,3.5,34.3056
2014-11-01,-173.5,3.5,34.3655
2014-11-01,-172.5,3.5,34.477
2014-11-01,-171.5,3.5,34.6636
2014-11-01,-170.5,3.5,34.5814
2014-11-01,-169.5,3.5,34.5883
2014-11-01,-168.5,3.5,34.4668
2014-11-01,-167.5,3.5,34.673
2014-11-01,-166.5,3.5,34.846
2014-11-01,-165.5,3.5,34.891
2014-11-01,-164.5,3.5,34.7848
2014-11-01,-163.5,3.5,34.8179
2014-11-01,-162.5,3.5,34.6929
2014-11-01,-161.5,3.5,34.8745
2014-11-01,-160.5,3.5,34.7682
2014-11-01,-159.5,3.5,34.2667
2014-11-01,-158.5,3.5,34.7473
2014-11-01,-157.5,3.5,34.8353
2014-11-01,-156.5,3.5,34.6174
2014-11-01,-155.5,3.5,34.5966
2014-11-01,-154.5,3.5,34.5031
2014-11-01,-153.5,3.5,34.4884
2014-11-01,-152.5,3.5,34.7007
2014-11-01,-151.5,3.5,34.7016
2014-11-01,-150.5,3.5,34.7331
2014-11-01,-149.5,3.5,34.6512
2014-11-01,-148.5,3.5,34.758
2014-11-01,-147.5,3.5,34.832
2014-11-01,-146.5,3.5,34.7931
2014-11-01,-145.5,3.5,34.556
2014-11-01,-144.5,3.5,34.516
2014-11-01,-143.5,3.5,34.6436
2014-11-01,-142.5,3.5,34.6561
2014-11-01,-141.5,3.5,34.8853
2014-11-01,-140.5,3.5,34.9297
2014-11-01,-139.5,3.5,34.8773
2014-11-01,-138.5,3.5,34.7255
2014-11-01,-137.5,3.5,34.7149
2014-11-01,-136.5,3.5,34.5807
2014-11-01,-135.5,3.5,34.4965
2014-11-01,-134.5,3.5,34.6273
2014-11-01,-133.5,3.5,34.7564
2014-11-01,-132.5,3.5,34.7774
2014-11-01,-131.5,3.5,34.6774
2014-11-01,-130.5,3.5,34.6893
2014-11-01,-129.5,3.5,34.7347
2014-11-01,-128.5,3.5,34.5805
2014-11-01,-127.5,3.5,34.6764
2014-11-01,-126.5,3.5,34.6693
2014-11-01,-125.5,3.5,34.5762
2014-11-01,-124.5,3.5,34.3849
2014-11-01,-123.5,3.5,34.5368
2014-11-01,-122.5,3.5,34.6117
2014-11-01,-121.5,3.5,34.4783
2014-11-01,-120.5,3.5,34.6649
2014-11-01,-119.5,3.5,34.5512
2014-11-01,-118.5,3.5,34.479
2014-11-01,-117.5,3.5,34.4283
2014-11-01,-116.5,3.5,34.4271
2014-11-01,-115.5,3.5,34.4779
2014-11-01,-114.5,3.5,34.2682
2014-11-01,-113.5,3.5,34.3248
2014-11-01,-112.5,3.5,34.3491
2014-11-01,-111.5,3.5,34.2421
2014-11-01,-110.5,3.5,34.0967
2014-11-01,-109.5,3.5,34.04
2014-11-01,-108.5,3.5,33.9076
2014-11-01,-107.5,3.5,33.661
2014-11-01,-106.5,3.5,33.8807
2014-11-01,-105.5,3.5,34.0687
2014-11-01,-104.5,3.5,34.0585
2014-11-01,-103.5,3.5,33.6611
2014-11-01,-102.5,3.5,33.4861
2014-11-01,-101.5,3.5,33.6906
2014-11-01,-100.5,3.5,33.528
2014-11-01,-99.5,3.5,33.5152
2014-11-01,-98.5,3.5,33.4639
2014-11-01,-97.5,3.5,33.4558
2014-11-01,-96.5,3.5,33.3386
2014-11-01,-95.5,3.5,33.4937
2014-11-01,-94.5,3.5,33.4476
2014-11-01,-93.5,3.5,33.3086
2014-11-01,-92.5,3.5,33.4319
2014-11-01,-91.5,3.5,33.3806
2014-11-01,-90.5,3.5,33.2953
2014-11-01,-179.5,4.5,34.0005
2014-11-01,-178.5,4.5,33.9211
2014-11-01,-177.5,4.5,34.0738
2014-11-01,-176.5,4.5,34.1293
2014-11-01,-175.5,4.5,34.0806
2014-11-01,-174.5,4.5,34.1627
2014-11-01,-173.5,4.5,34.2728
2014-11-01,-172.5,4.5,34.173
2014-11-01,-171.5,4.5,34.2559
2014-11-01,-170.5,4.5,34.3232
2014-11-01,-169.5,4.5,34.3977
2014-11-01,-168.5,4.5,34.4468
2014-11-01,-167.5,4.5,34.5789
2014-11-01,-166.5,4.5,34.5904
2014-11-01,-165.5,4.5,34.6078
2014-11-01,-164.5,4.5,34.4043
2014-11-01,-163.5,4.5,34.307
2014-11-01,-162.5,4.5,34.4953
2014-11-01,-161.5,4.5,34.4953
2014-11-01,-160.5,4.5,34.3774
2014-11-01,-159.5,4.5,34.1787
2014-11-01,-158.5,4.5,34.3545
2014-11-01,-157.5,4.5,34.3818
2014-11-01,-156.5,4.5,34.3349
2014-11-01,-155.5,4.5,34.0741
2014-11-01,-154.5,4.5,34.1376
2014-11-01,-153.5,4.5,34.1316
2014-11-01,-152.5,4.5,34.2803
2014-11-01,-151.5,4.5,34.3729
2014-11-01,-150.5,4.5,34.4748
2014-11-01,-149.5,4.5,34.4035
2014-11-01,-148.5,4.5,34.567
2014-11-01,-147.5,4.5,34.6864
2014-11-01,-146.5,4.5,34.6513
2014-11-01,-145.5,4.5,34.4327
2014-11-01,-144.5,4.5,34.3789
2014-11-01,-143.5,4.5,34.4377
2014-11-01,-142.5,4.5,34.4075
2014-11-01,-141.5,4.5,34.7336
2014-11-01,-140.5,4.5,34.9428
2014-11-01,-139.5,4.5,34.8457
2014-11-01,-138.5,4.5,34.7064
2014-11-01,-137.5,4.5,34.5767
2014-11-01,-136.5,4.5,34.5179
2014-11-01,-135.5,4.5,34.229
2014-11-01,-134.5,4.5,34.336
2014-11-01,-133.5,4.5,34.4772
2014-11-01,-132.5,4.5,34.5925
2014-11-01,-131.5,4.5,34.5549
2014-11-01,-130.5,4.5,34.5987
2014-11-01,-129.5,4.5,34.6116
